# table produced by calculations.DamageProfiler
# using mapped file JK2782_rmdup.bam
# Sample ID: JK2782_rmdup.bam
pos	5pC>T
1	0.15441176470588236
2	0.08260869565217391
3	0.09210526315789473
4	0.06222222222222222
5	0.04201680672268908
6	0.04784688995215311
7	0.0234375
8	0.0514018691588785
9	0.04
10	0.03879310344827586
11	0.011627906976744186
12	0.024875621890547265
13	0.03409090909090909
14	0.012605042016806723
15	0.03187250996015936
