# table produced by calculations.DamageProfiler
# using mapped file JK2782_rmdup.bam
# Sample ID: JK2782_rmdup.bam
pos	3pG>A
1	0.1652892561983471
2	0.08955223880597014
3	0.027777777777777776
4	0.0594059405940594
5	0.03017241379310345
6	0.036290322580645164
7	0.04526748971193416
8	0.023255813953488372
9	0.023809523809523808
10	0.012658227848101266
11	0.021645021645021644
12	0.02727272727272727
13	0.028112449799196786
14	0.03375527426160337
15	0.024691358024691357
