Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
RAP1_IAA_30M_REP1_1										35.68516398545922	4.195537346106725	0.9841135948263743	0.0	0.0	0.0	0.0																																																															
RAP1_IAA_30M_REP1_2										35.72734028238035	3.490590668996405	0.25908296680122916	0.0	0.0	0.0	0.0																																																															
RAP1_UNINDUCED_REP1										35.65010306389962	4.366707358562309	1.0286377554083532	0.0	0.0	0.0	0.0																																																															
RAP1_UNINDUCED_REP2										37.37383841313981	11.210250972782108	5.735663342369287	0.0	0.0	0.0	0.0																																																															
WT_REP1_1										37.986862985356446	12.342566739650081	7.657232388566378	0.0	0.0	0.0	0.0																																																															
WT_REP1_2										39.686238274109634	10.978647329409638	5.158387401321737	0.0	0.0	0.0	0.0																																																															
WT_REP2_1										36.57556270096463	5.542604501607717	1.1254019292604502	0.0	0.0	0.0	0.0																																																															
WT_REP2_2										35.070337620578776	4.356913183279742	0.5204983922829581	0.0	0.0	0.0	0.0																																																															
