#Transcript position	Transcript coverage profile
0.0	5.003223916276831
1.0	16.32831771849128
2.0	25.06267306587149
3.0	34.69278872067766
4.0	40.30696994068833
5.0	46.63393870844721
6.0	55.115810906530854
7.0	60.179162196301235
8.0	62.19234482407348
9.0	62.84233600762446
10.0	62.31212823780136
11.0	63.071933163321674
12.0	67.43018883201333
13.0	68.52059042163654
14.0	67.91326797864015
15.0	65.71060844046937
16.0	60.48095390406969
17.0	59.85839287120422
18.0	63.409713307835666
19.0	67.09753602850301
20.0	67.18858000029057
21.0	64.55078911532239
22.0	62.67676011803758
23.0	59.59986385385622
24.0	57.18311657742193
25.0	56.18524637511381
26.0	56.50918666149999
27.0	55.4262662950718
28.0	58.65799567327986
29.0	60.75392064121172
30.0	64.24015912296291
31.0	63.47415056383104
32.0	65.86168252740508
33.0	68.31346315142797
34.0	69.7746521221731
35.0	67.95600426117497
36.0	67.66223970815366
37.0	69.48281813894312
38.0	68.53946716701617
39.0	64.63670531357529
40.0	64.4499516013275
41.0	63.39051122961019
42.0	63.29574374024144
43.0	60.66382988773168
44.0	58.653553424326205
45.0	58.48142490446951
46.0	60.9237853833093
47.0	62.04733899144114
48.0	59.61860137739346
49.0	59.14362043009409
50.0	61.65967551057114
51.0	63.187030057485885
52.0	65.74213506090645
53.0	66.2824835533442
54.0	66.58058667046888
55.0	63.815712686474924
56.0	63.88136836156726
57.0	62.42135446384244
58.0	61.65554379930826
59.0	60.51671022186114
60.0	63.06890191485434
61.0	61.87239201125758
62.0	61.191480073298926
63.0	61.84312527689569
64.0	64.19476143744794
65.0	63.42365664366963
66.0	66.58098075205764
67.0	66.1437070824297
68.0	66.83058925571007
69.0	64.94896151057142
70.0	64.48518957210436
71.0	66.18831760646745
72.0	68.62783782814893
73.0	69.00724211970088
74.0	70.59206484983677
75.0	71.80070814915699
76.0	69.66896130075588
77.0	66.32810818902745
78.0	65.03315034060633
79.0	66.37017485090901
80.0	66.1992271587668
81.0	63.307714175651405
82.0	62.43717138156103
83.0	62.76968221037853
84.0	57.02257153706888
85.0	54.24476005792226
86.0	52.628019757506785
87.0	52.04446032559168
88.0	49.07798167235108
89.0	42.659575851610846
90.0	38.38122205730179
91.0	35.52723203613108
92.0	28.441932411983824
93.0	18.903861634338444
94.0	16.046162707583658
95.0	13.700373919142667
96.0	12.273061125998053
97.0	7.9827530440563494
98.0	3.7886961069813623
99.0	0.9985464020254
