-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	265
-100	-95	1905
-95	-90	1983
-90	-85	1821
-85	-80	1886
-80	-75	1776
-75	-70	1780
-70	-65	1578
-65	-60	1624
-60	-55	1554
-55	-50	1486
-50	-45	1329
-45	-40	1277
-40	-35	1226
-35	-30	1230
-30	-25	1113
-25	-20	1106
-20	-15	966
-15	-10	977
-10	-5	848
-5	0	807
0	5	768
5	10	668
10	15	645
15	20	602
20	25	543
25	30	500
30	35	506
35	40	466
40	45	416
45	50	396
50	55	384
55	60	357
60	65	341
65	70	282
70	75	312
75	80	245
80	85	243
85	90	216
90	95	205
95	100	175
100	105	162
105	110	191
110	115	119
115	120	134
120	125	130
125	130	116
130	135	94
135	140	98
140	145	109
145	150	83
150	155	73
155	160	66
160	165	60
165	170	73
170	175	61
175	180	51
180	185	50
185	190	46
190	195	47
195	200	60
200	205	33
205	210	33
210	215	29
215	220	25
220	225	24
225	230	26
230	235	22
235	240	18
240	245	12
245	250	17
