# table produced by calculations.DamageProfiler
# using mapped file JK2802_rmdup.bam
# Sample ID: JK2802_rmdup.bam
pos	5pC>T
1	0.1891348088531187
2	0.20344827586206896
3	0.14965986394557823
4	0.13448275862068965
5	0.07936507936507936
6	0.07446808510638298
7	0.07975460122699386
8	0.07942238267148015
9	0.0572289156626506
10	0.04430379746835443
11	0.04281345565749235
12	0.03691275167785235
13	0.030864197530864196
14	0.04119850187265917
15	0.03592814371257485
