# table produced by calculations.DamageProfiler
# using mapped file JK2802_rmdup.bam
# Sample ID: JK2802_rmdup.bam
pos	3pG>A
1	0.44242424242424244
2	0.24444444444444444
3	0.2229965156794425
4	0.14333333333333334
5	0.11589403973509933
6	0.06810035842293907
7	0.07868852459016394
8	0.06093189964157706
9	0.06896551724137931
10	0.04428044280442804
11	0.02586206896551724
12	0.053156146179401995
13	0.026936026936026935
14	0.028070175438596492
15	0.043076923076923075
