UniqueCount	AmbigCount
1	0
0	0
5	0
0	0
3	0
0	0
2	0
0	0
0	0
0	0
1	0
14	22
27	0
19	0
53	0
0	15
8	15
26	1
1	1
49	0
2	0
13	0
129	0
60	0
37	0
20	1
0	1
23	0
3	0
0	3
0	3
58	0
67	0
0	18
128	18
65	0
44	0
23	0
2566	3810
51	3810
0	0
5	0
59	0
482	0
0	0
2	0
16	0
12	0
14	0
0	1
39	1
14	0
177	0
8	0
11	0
12	0
152	14
2	14
29	0
52	0
323	0
36	0
102	0
5	3
0	3
110	2
0	0
114	0
1	0
8	6
154	6
12	0
20	0
18	0
232	0
25	0
12	0
15	0
17	0
56	0
0	0
4385	1974
0	1968
810	0
8	0
33	0
72	0
60	0
78	0
17	0
67	0
14	0
17141	26
6170	16
0	0
61	0
63	0
14	0
35	0
0	0
0	0
1	0
0	0
0	0
34	0
13	0
2	0
0	0
15	0
17	0
5	0
0	0
105	0
0	0
10	24
0	0
0	0
0	0
3	0
2	0
13	0
27	2
0	0
0	0
0	0
