#Coverage (X)	Coverage
1.0	96.79189028026238
2.0	89.71377459749553
3.0	78.8133571854502
4.0	67.60882528324389
5.0	52.79069767441861
6.0	40.91234347048301
7.0	31.800834824090643
8.0	24.794275491949918
9.0	18.783542039356007
10.0	14.633273703041155
11.0	10.524746571258206
12.0	7.8533094812164705
13.0	6.0345855694693
14.0	4.949314251639848
15.0	3.8819320214669233
16.0	3.3989266547406203
17.0	2.9934406678592893
18.0	2.695289206917124
19.0	2.4388789505068615
20.0	2.075134168157433
21.0	1.776982707215268
22.0	1.4430530709600475
23.0	1.3357185450208675
24.0	1.2283840190816875
25.0	1.132975551580202
26.0	1.049493142516397
27.0	0.9481216457960642
28.0	0.8169350029815092
29.0	0.7513416815742318
30.0	0.6380441264162044
31.0	0.5784138342277743
32.0	0.49493142516396915
33.0	0.3935599284436364
34.0	0.27429934406677603
35.0	0.21466905187834584
36.0	0.18485390578412364
37.0	0.14907573047106837
38.0	0.12522361359569345
39.0	0.07751937984494361
40.0	0.017889087656513425
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
