#Mapping quality	mapping quality
1.0	5.0
2.0	20.0
3.0	16.0
4.0	22.0
5.0	12.0
6.0	15.0
7.0	5.0
8.0	6.0
9.0	5.0
10.0	2.0
11.0	8.0
12.0	1.0
13.0	9.0
14.0	3.0
15.0	1.0
16.0	1.0
17.0	2.0
18.0	1.0
19.0	2.0
20.0	3.0
21.0	3.0
23.0	2.0
25.0	105.0
26.0	7.0
28.0	1.0
29.0	11.0
30.0	17.0
31.0	298.0
32.0	22.0
33.0	132.0
34.0	501.0
35.0	584.0
36.0	207.0
37.0	14203.0
