#Transcript position	Transcript coverage profile
0.0	5.734933517169282
1.0	16.926462409723975
2.0	25.370377833575308
3.0	32.29261996927817
4.0	37.75383347220928
5.0	43.296795557178626
6.0	48.73829393377748
7.0	51.218836796270274
8.0	53.721693624255344
9.0	57.25747773103063
10.0	56.70314989289136
11.0	57.145167626928135
12.0	61.08511425024071
13.0	62.147769217107225
14.0	64.05358561769702
15.0	64.46719628806878
16.0	60.96353293298843
17.0	59.29805821254205
18.0	59.04553140097961
19.0	58.18598165899064
20.0	57.729193204214006
21.0	55.193458066404986
22.0	53.738184164900694
23.0	54.16197746993096
24.0	55.022154161570015
25.0	54.9390736685491
26.0	54.61430442244773
27.0	53.92606456974014
28.0	57.054049939457876
29.0	57.219083046393514
30.0	58.672357664520185
31.0	57.299356999290616
32.0	58.97732430362886
33.0	61.42695661521716
34.0	63.39648995724689
35.0	62.0045653968076
36.0	59.74244672399105
37.0	61.45960270236799
38.0	62.109073554101094
39.0	61.554974332227424
40.0	62.12904510940106
41.0	61.360411882189545
42.0	61.363366114672836
43.0	60.6455427124885
44.0	60.11733584016976
45.0	59.038387126394454
46.0	59.07070378770511
47.0	59.39518046536175
48.0	57.64689732269513
49.0	56.9462696138817
50.0	59.57680504445348
51.0	60.394080809724386
52.0	61.274989296687
53.0	61.80959517920835
54.0	62.62879790650763
55.0	60.68533704956579
56.0	61.50266631010589
57.0	62.179465809793335
58.0	62.28871567362398
59.0	60.83997681739532
60.0	63.362980782904636
61.0	60.7922537940906
62.0	60.262105826014825
63.0	61.12081200705391
64.0	61.484319016456546
65.0	61.83075623522704
66.0	64.39820421860307
67.0	63.13167919255388
68.0	62.31989704462456
69.0	62.512610433260335
70.0	60.63302233106532
71.0	61.148232308972325
72.0	61.58641643074346
73.0	61.792456885739384
74.0	62.48438847578914
75.0	62.14899845269673
76.0	58.76222091927829
77.0	55.84331842389406
78.0	53.91790035752026
79.0	55.01930956832388
80.0	56.658968060014374
81.0	54.59441421528008
82.0	53.397099700467514
83.0	53.72378115155346
84.0	50.70391637894971
85.0	47.93974784525882
86.0	46.236775667920426
87.0	45.4466208906545
88.0	42.94451604253223
89.0	38.67721425278266
90.0	35.16869293022696
91.0	31.624470407427438
92.0	25.23612158849724
93.0	18.570102523458882
94.0	15.572109292098958
95.0	13.629578889711368
96.0	12.380740381033704
97.0	8.1527802941198
98.0	4.012902826623192
99.0	0.9745724513698663
