#Transcript position	Transcript coverage profile
0.0	12.706429936847345
1.0	34.44306408468933
2.0	50.139861203549906
3.0	61.93735416939391
4.0	71.76265122698288
5.0	82.41780451133003
6.0	93.00025976639941
7.0	97.33499408355564
8.0	104.07931731650531
9.0	109.04384894308085
10.0	106.48240338913507
11.0	106.15487950831785
12.0	113.19301313406356
13.0	116.48169774118124
14.0	120.83485481116023
15.0	118.91840598873291
16.0	110.0073847146792
17.0	105.88800330589632
18.0	105.00374384176305
19.0	101.51164128293783
20.0	100.27636991146159
21.0	94.33737822196642
22.0	90.94236140620754
23.0	92.08918532355464
24.0	93.39706868005787
25.0	94.4077634844753
26.0	92.930651107692
27.0	89.56304437652403
28.0	95.77437577779429
29.0	97.92381179969728
30.0	101.68685992873291
31.0	99.12760841582016
32.0	103.86400000850985
33.0	108.82175664990152
34.0	113.45493152527351
35.0	110.66116806488819
36.0	106.56977808693966
37.0	110.97107584591647
38.0	113.14902698667113
39.0	110.80830360889078
40.0	110.07840814733692
41.0	108.75548488232462
42.0	109.68269414232824
43.0	109.1138233692241
44.0	108.62994517269036
45.0	108.58804343904814
46.0	109.82558077074371
47.0	110.00215521747768
48.0	105.93305839409149
49.0	103.1101504141668
50.0	106.60884167200545
51.0	110.1116585460449
52.0	115.63515119973937
53.0	117.04193812469279
54.0	116.88810933947204
55.0	110.40981373587965
56.0	109.55205414154857
57.0	108.27846522329176
58.0	106.84552703361102
59.0	102.49963454828297
60.0	105.5775319075635
61.0	103.58475306262854
62.0	103.9777159527394
63.0	105.49798179696876
64.0	107.30775017580243
65.0	107.80723125915765
66.0	112.68733459831695
67.0	109.44362897923077
68.0	109.68074628427075
69.0	110.75072743961731
70.0	106.84817614517107
71.0	106.34021189188508
72.0	106.61747216446265
73.0	108.3166239534069
74.0	112.06412659526384
75.0	115.1710512879543
76.0	109.07952962775948
77.0	102.90469307047178
78.0	100.52096307204619
79.0	102.58596298260359
80.0	104.96635292609875
81.0	100.15460248590159
82.0	97.71418770523351
83.0	98.3336954005231
84.0	92.65002149366376
85.0	86.52915759879082
86.0	84.90588144552127
87.0	84.91372893879058
88.0	80.47371331091233
89.0	73.43293878849603
90.0	65.88666710905991
91.0	60.20520034311478
92.0	48.500149964779766
93.0	35.290338133273394
94.0	28.42280160527032
95.0	25.466864257191993
96.0	24.395565217114342
97.0	18.32067041600213
98.0	9.202890301719707
99.0	2.3410568912492926
