#Transcript position	Transcript coverage profile
0.0	12.706429936847345
1.0	34.443064084689325
2.0	50.139861203549934
3.0	61.93735416939392
4.0	71.76265122698287
5.0	82.41780451133009
6.0	93.0002597663994
7.0	97.33499408355567
8.0	104.07931731650541
9.0	109.04384894308087
10.0	106.48240338913511
11.0	106.15487950831788
12.0	113.19301313406356
13.0	116.48169774118121
14.0	120.83485481116021
15.0	118.91840598873294
16.0	110.00738471467919
17.0	105.88800330589636
18.0	105.00374384176303
19.0	101.51164128293779
20.0	100.27636991146163
21.0	94.33737822196645
22.0	90.94236140620752
23.0	92.08918532355469
24.0	93.39706868005784
25.0	94.40776348447524
26.0	92.93065110769199
27.0	89.563044376524
28.0	95.77437577779426
29.0	97.92381179969723
30.0	101.68685992873297
31.0	99.1276084158202
32.0	103.86400000850988
33.0	108.82175664990153
34.0	113.4549315252734
35.0	110.66116806488814
36.0	106.56977808693964
37.0	110.97107584591642
38.0	113.1490269866711
39.0	110.80830360889072
40.0	110.07840814733692
41.0	108.75548488232458
42.0	109.68269414232826
43.0	109.11382336922408
44.0	108.62994517269031
45.0	108.58804343904809
46.0	109.82558077074371
47.0	110.00215521747775
48.0	105.93305839409147
49.0	103.1101504141668
50.0	106.60884167200547
51.0	110.11165854604486
52.0	115.63515119973928
53.0	117.04193812469282
54.0	116.88810933947198
55.0	110.40981373587968
56.0	109.55205414154852
57.0	108.27846522329178
58.0	106.84552703361099
59.0	102.49963454828298
60.0	105.57753190756347
61.0	103.58475306262856
62.0	103.97771595273939
63.0	105.49798179696873
64.0	107.30775017580241
65.0	107.80723125915769
66.0	112.68733459831692
67.0	109.4436289792307
68.0	109.68074628427074
69.0	110.75072743961735
70.0	106.84817614517115
71.0	106.34021189188513
72.0	106.61747216446267
73.0	108.31662395340697
74.0	112.06412659526391
75.0	115.1710512879543
76.0	109.07952962775951
77.0	102.90469307047178
78.0	100.52096307204623
79.0	102.58596298260362
80.0	104.9663529260988
81.0	100.15460248590162
82.0	97.71418770523353
83.0	98.33369540052313
84.0	92.65002149366379
85.0	86.52915759879083
86.0	84.90588144552129
87.0	84.91372893879058
88.0	80.4737133109124
89.0	73.43293878849606
90.0	65.88666710905997
91.0	60.20520034311476
92.0	48.500149964779744
93.0	35.2903381332734
94.0	28.42280160527031
95.0	25.466864257191993
96.0	24.395565217114335
97.0	18.32067041600214
98.0	9.202890301719707
99.0	2.341056891249293
