#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0027397260273972603
24.0	0.0
25.0	0.0027397260273972603
26.0	0.010958904109589041
27.0	0.005479452054794521
28.0	0.005479452054794521
29.0	0.0273972602739726
30.0	0.04109589041095891
31.0	0.0136986301369863
32.0	0.0547945205479452
33.0	0.038356164383561646
34.0	0.060273972602739735
35.0	0.054794520547945195
36.0	0.08493150684931508
37.0	0.08219178082191782
38.0	0.07945205479452054
39.0	0.04657534246575342
40.0	0.05753424657534247
41.0	0.060273972602739735
42.0	0.0547945205479452
43.0	0.05479452054794521
44.0	0.03561643835616438
45.0	0.03287671232876712
46.0	0.01643835616438356
47.0	0.01643835616438356
48.0	0.01917808219178082
49.0	0.01643835616438356
50.0	0.005479452054794521
51.0	0.005479452054794521
52.0	0.0027397260273972603
53.0	0.0027397260273972603
54.0	0.0
55.0	0.0027397260273972603
56.0	0.005479452054794521
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
