#Coverage (X)	Coverage
1.0	95.55754323196183
2.0	86.2552176505665
3.0	77.0423375074538
4.0	66.95885509838999
5.0	56.475849731663686
6.0	46.6845557543232
7.0	36.85152057245081
8.0	29.165175909361963
9.0	23.11270125223615
10.0	18.586762075134175
11.0	14.353011329755518
12.0	11.717352415026838
13.0	9.88073941562314
14.0	8.020274299344067
15.0	6.4042933810375615
16.0	5.205724508050082
17.0	4.335122242098976
18.0	3.559928443649369
19.0	2.80262373285629
20.0	2.4329159212880143
21.0	2.098986285032794
22.0	1.8127608825283232
23.0	1.669648181276088
24.0	1.4907573047107974
25.0	1.3237924865831872
26.0	1.1926058437686322
27.0	1.1270125223613547
28.0	1.025641025641022
29.0	0.9719737626714391
30.0	0.9421586165772169
31.0	0.9004174120453143
32.0	0.888491353607634
33.0	0.7871198568873012
34.0	0.7096004770423434
35.0	0.6917113893858158
36.0	0.6797853309481354
37.0	0.6797853309481354
38.0	0.6618962432916078
39.0	0.6499701848539274
40.0	0.6380441264162471
41.0	0.6201550387597194
42.0	0.6082289803220391
43.0	0.5545617173524562
44.0	0.5485986881336089
45.0	0.5187835420393867
46.0	0.48300536672633143
47.0	0.4651162790698038
48.0	0.4293381037567485
49.0	0.38759689922484597
50.0	0.33989266547409613
51.0	0.2862254025045132
